Date,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep
Idamalayar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.586,,12.97,28.435,34.8,,83.88,117.72,117.72,,30.763,25.277,16.714,8.324,8.27,,8.09,7.957,7.957,7.705,7.575,7.427,7.255,7.427,6.891,6.891,6.48,6.251
Idukki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,52.652,64.8,64.8,50.76,46.26,111.24,126.63,126.63,70.524,59.4,42.12,23.94,17.28,17.28,,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,9,8.64,8.64,8.64
Idamalayar Reservoir  % storage,88,90,90,92,92,93,94,95,95,96,96,96,96,97,100,100,100,100,99,99,100,100,100,100,98,98,97,97,96,96,,95,94,94,93,93,92,91,92,89,89,88,87
Idukki Reservoir % storage,85,87,88,89,90,91,92,92,92,92,92,92,92,93,95,98,98,96,94,93,95,98,99,99,99,99,98,97,97,97,,95,95,95,93,93,92,91,92,89,89,88,87
